job_title,company_title,salary,location,posting_date,expiration_date,industry,job_type,exp,position,detailed_welfare,age,sex,edu_level,job_tags
Nhân viên Kiểm toán nội bộ (Internal Auditor),CJ Foodville Việt Nam,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,25/08/2023,Kế toán / Kiểm toán | Thực phẩm & Đồ uống | Bán lẻ / Bán sỉ,Nhân viên chính thức,3 - 5 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Phụ cấp | Xe đưa đón | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Cao đẳng
         ",NHÂN VIÊN KIỂM SOÁT NỘI BỘ Chuỗi F&B | NHÂN VIÊN KIỂM SOÁT NỘI BỘ | Commercial Audit Executive | Chuyên viên kiểm toán nội bộ | Kiểm soát viên nội bộ | Kiểm toán viên nội bộ | Chuyên viên kiểm soát nội bộ | Compliance Auditor | kiểm soát nội bộ | Internal Audit | Kiểm toán viên | Auditing supervisor | Kiểm toán nội bộ | Kiểm toán tư nhân | Kiểm toán nhà nước | Auditor | Internal Auditor | External Auditor | Chuyên viên kiểm toán | Trưởng nhóm kiểm toán | Kiểm toán viên CPA | Internal Controller | tài chính | Kiểm toán viên thương mại
Ecommerce Manager,CÔNG TY TNHH THƯƠNG MẠI NCA (VN),Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,12/07/2023,Bán lẻ / Bán sỉ | Tiếp thị trực tuyến | Dệt may / Da giày / Thời trang,Nhân viên chính thức,5 - 7 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                        28 - 35
                 
	",," Bằng cấp:
                Đại học
         ", Nhân viên kinh doanh thương mại điện tử |  Quản lý thương mại điện tử |  B2B |  B2C |  C2C |  thương mại điện tử |  bán hàng online |  shop online |  sale online |  mua bán online
GIÁM ĐỐC KHÁCH SẠN,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 15 Tr - 30 Tr VND,Hà Nội | Hồ Chí Minh,25-06-2023,21/06/2023,Dịch vụ khách hàng | Quản lý điều hành | Nhà hàng / Khách sạn,"Nhân viên chính thức, Bán thời gian, Thời vụ/ Nghề tự do, Thực tập",2 - 5 Năm,Giám đốc ,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        27 - 40
                 
	"," Giới tính:
         Nam
         ",,
GIÁM SÁT LỄ TÂN,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 12 Tr - 20 Tr VND,Hà Nội | Hồ Chí Minh | Quảng Ninh,25-06-2023,27/05/2023,Quản lý điều hành | Nhân sự | Nhà hàng / Khách sạn,"Nhân viên chính thức, Bán thời gian, Thời vụ/ Nghề tự do, Thực tập",1 - 3 Năm,Trưởng nhóm / Giám sát,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        27 - 40
                 
	",," Bằng cấp:
                Trung cấp
         ",
KẾ TOÁN THUẾ,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 12 Tr - 20 Tr VND,Hà Nội | Hồ Chí Minh | Đà Nẵng,25-06-2023,29/07/2023,Kế toán / Kiểm toán | Tài chính / Đầu tư | Nhà hàng / Khách sạn,"Nhân viên chính thức, Thời vụ/ Nghề tự do, Thực tập",2 - 5 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        25 - 40
                 
	",," Bằng cấp:
                Cao đẳng
         ",
Brand Manager (Functional foods),CJ Foods Vietnam,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,29/07/2023,Tiếp thị / Marketing | Tiếp thị trực tuyến | Thực phẩm & Đồ uống,Nhân viên chính thức,3 - 5 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",Brand Manager Functional foods |  Trưởng nhãn hàng |  Giám đốc nhãn hàng |  Giám đốc nhãn hiệu |  Brand Director |  Giám đốc thương hiệu |  Senior Brand Manager
Trade Marketing Manager (Ha Noi),Công Ty TNHH CJ Foods Việt Nam,Lương: Cạnh tranh,Hà Nội,25-06-2023,05/07/2023,Tiếp thị / Marketing | Bán hàng / Kinh doanh | Tiếp thị trực tuyến,Nhân viên chính thức,3 - 5 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",
Transportation Ast Manager (Long An),Công Ty TNHH CJ Foods Việt Nam,Lương: Cạnh tranh,Long An | Hồ Chí Minh,25-06-2023,23/07/2023,Vận chuyển / Giao nhận /  Kho vận | Hàng gia dụng / Chăm sóc cá nhân | Thực phẩm & Đồ uống,Nhân viên chính thức,2 - 5 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Phụ cấp | Xe đưa đón | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	"," Giới tính:
         Nam
         "," Bằng cấp:
                Đại học
         ",Transportation Ast Manager Long An |  Purchasing |  Nhân viên mua hàng  Staff |  Associates  Accountant |  Staff/ Executive/ Supervisor/ Manager |  purchasing staff |  Executive |  specialist |  Coordinator |  Supervisor |  officier
Nhân Viên Marketing (Không Yêu Cầu Kinh Nghiệm),CÔNG TY CP HERMANOSS VIỆT NAM,Lương: 7 Tr - 15 Tr VND,Hà Nội,25-06-2023,,Tiếp thị / Marketing | Quảng cáo / Đối ngoại / Truyền Thông,Nhân viên chính thức,Nhân viên,30/07/2023,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        22 - 25
                 
	",,,Nhân Viên Marketing Không Yêu Cầu Kinh Nghiệm |  Marketing Executive |  Marketer |  Chuyên viên Marketing |  Nhân viên phòng marketing xuất nhập khẩu |  Marketing Training
Trưởng Nhóm Marketing,CÔNG TY CP HERMANOSS VIỆT NAM,Lương: 8 Tr - 20 Tr VND,Hà Nội,25-06-2023,30/07/2023,Tiếp thị / Marketing | Quảng cáo / Đối ngoại / Truyền Thông,Nhân viên chính thức,1 - 2 Năm,Trưởng nhóm / Giám sát,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        21 - 25
                 
	",," Bằng cấp:
                Đại học
         ", Marketing Supervisor |  Trưởng phòng Marketing |  Makerting Manager |  Giám đốc tiếp thị |  Giám đốc Marketing |  Makerting Director |  Giám đốc truyền thông & tiếp thị |  Giám sát tiếp thị |  Marketing Manager |  Marketing Director
